"ID"	"Title"	"Tags"
"CEDNews"	"UC Berkeley College of Environmental Design"	"[2, 11, 31]"
"ChineseFinanceClub.Berkeley"	"Chinese Finance Club"	"[""Business"", ""Recruitment""]"
"csua"	"csua"	"[""1""]"
"dssberkeley"	"Data Science Society"	"[1, 5, 27]"
"dxpcal"	"Delta Xi Phi"	"[""1""]"
"eau.ucb"	"East Asian Union"	"[4, 19, 7]"
"epicatberkeley"	"EPIC Berkeley"	"[""Education""]"
"etakappanumu"	"HKN"	"[10]"
"eventure"	"Eventure Development Team"	"[]"
"evpandytheocharous"	"ASUC EVP Office"	"[5, 1, 28]"
"GMMAUWO"	"Global Medical Missions Alliance"	"[""Professional""]"
"ieeeucb"	"IEEE"	"[27, 8, 11]"
"isaberkeley"	"Indian Student Association"	"[4, 25]"
"kpopular"	"K-Popular"	"[""1""]"
"mcbusa.berkeley"	"MCB Undergrad Association"	"[1, 23, 29]"
"OLLIBerkeley"	"OLLI @Berkeley"	"[5, 18, 24]"
"OutletAtCal"	"Outlet At Cal"	"[2, 29]"
"rufberkeley"	"Reformed University Fellowship"	"[""Religious""]"
"saasberkeley"	"Student Association for Applied Statistics"	"[1, 5, 27]"
"SOON Movement"	"SOON Movement"	"[""Religious""]"
"SutardjaCenter"	"SCET"	"[6, 11, 5]"
"tasa.berkeley"	"Taiwanese American Student Association"	"[4, 25]"
"tbpberkeley"	"Tau Beta Pi"	"[""1""]"
"tdps"	"Theater, Dance, and Performance Studies at UC Berkeley"	"[""Arts"", ""Academics"", ""Culture""]"
"theASUC"	"ASUC"	"[5, 29, 28]"
"TheBerkeleyGroup"	"The Berkeley Group"	"[""Professional"", ""Business""]"
"thetatauberkeley"	"Ignite Innovation "	"[""Tech"", ""Greek""]"
"tiny.berkeley"	"T.I.n.Y Chinese Theatre Group"	"[""Arts"", ""Culture"", ""Recreational""]"
"UCB.Christians"	"Christians On Campus"	"[21, 4]"
"ucbconsultyourcommunity"	"Consult Your Community"	"[""Professional""]"
"UCBdatascience"	"Berkeley Data Science"	"[1, 27, 22]"
"ucberkeleylbsa"	"Latino Business Student Association"	"[3, 4, 18]"
"UCBerkeleySPH"	"Berkeley Public Health"	"[11, 5, 13]"
"ucberkeleytsa"	"Taiwanese Student Association"	"[25, 4]"
"ucbmedlife"	"MedLife"	"[13, 28]"
"ucbpcg"	"Phoenix Consulting"	"[""Professional"", ""Business"", ""Recruitment""]"
"ucbqarc"	"Queer Alliance Resource Center"	"[""1""]"
"ucbsasc"	"Southeast Asian Student Coalition"	"[25, 4]"
"ucbso"	"UC Berkeley Symphony Orchestra"	"[2, 33, 14]"
"ucbstartupfair"	"UCB Startup Fair"	"[6, 20, 3]"
"ucbstudyabroad"	"Berkeley Study Abroad"	"[5, 1, 4]"
"UCBThaiSA"	"Thai Student Association"	"[25, 4]"
"ucbupe"	"Upsilon Pi Epsilon"	"[""Industry"", ""Tech"", ""Academics""]"
"ufaumcg"	"UFA | UMCG"	"[30, 3, 18]"
"urecberkeley"	"Undergraduate Real Estate Club"	"[3, 6, 18]"
"WIMatUCB"	"WIMatUCB"	"[""1""]"
