uuid,Title,Organization,Location,Description,Start time,End time,Published,Public,Tags,Interested,Favorites,Creation date,Last Modified,Has cover,Capacity
eac3ed47-0653-504d-a3a8-ad2a4052148d,Laverne Cox,calperformances,"Cal Performances, Berkeley, CA",,2020-03-13 03:00:00,2020-03-13 04:30:00,1,1,"[""Culture"", ""Recreational"", ""Arts""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
2ea3240a-2cf7-5e7b-8d9c-9f7dcdd1bfd1,The Summit: The Manhattan Transfer Meets Take 6,calperformances,"Cal Performances, Berkeley, CA",,2020-03-21 03:00:00,2020-03-21 04:30:00,1,1,"[""Culture"", ""Recreational"", ""Arts""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
4c134c4d-037c-58ff-8d95-ad82e7ba4fed,Mnozil Brass:Cirque,calperformances,"Cal Performances, Berkeley, CA",,2020-03-22 03:00:00,2020-03-22 04:30:00,1,1,"[""Culture"", ""Recreational"", ""Arts""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
a505d15a-27d5-5b26-b44b-78ba15442414,"Rotterdam Philharmonic; Lahav Shani, conductor",calperformances,"Cal Performances, Berkeley, CA",,2020-03-22 22:00:00,2020-03-22 23:30:00,1,1,"[""Culture"", ""Recreational"", ""Arts""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
9635e7fa-af79-55a6-ac1d-fb906a66e051,San Francisco Shock: First Arrival,calperformances,"Cal Performances, Berkeley, CA",,2020-03-28 22:00:00,2020-03-28 23:30:00,1,1,"[""Culture"", ""Recreational"", ""Arts""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
2c93240f-9869-5d5b-b16b-664be63eafb8,San Francisco Shock: First Arrival,calperformances,"Cal Performances, Berkeley, CA",,2020-03-29 20:00:00,2020-03-29 21:30:00,1,1,"[""Culture"", ""Recreational"", ""Arts""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
5b13bd92-fc21-5b38-bb1b-a981930c4d3b,2020 Investment Banking Forum,ufaumcg,"Pauley Ballroom, Berkeley, CA",,2020-03-05 00:00:00,2020-03-05 01:30:00,1,1,"[30, 3, 18]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
b5fbbf69-1363-5872-8464-2da50713924f,BOAA Social: Study with BOAA!,BOAAatBerkeley,East Asian library Room 377,,2020-03-06 02:00:00,2020-03-06 03:30:00,1,1,"[5, 28]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
148b9971-a4b0-5758-9e9f-d3e88e76e746,BOAA Weekly Meeting: BOAA Investigates,BOAAatBerkeley,"Berkeley Animal Rights Center, Berkeley, CA",,2020-03-07 00:00:00,2020-03-07 01:30:00,1,1,"[5, 28]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
1168b799-82f9-515f-9995-26f22f7a3642,BOAA Social: Korean Food and YooJin's Birthday!,BOAAatBerkeley,"Cloyne Co-Op (2600 Ridge Rd, Berkeley, CA)",,2020-03-15 00:30:00,2020-03-15 02:00:00,1,1,"[5, 28]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
3b00139d-4f64-5165-b9bf-912c60d9eb8e,Animal Liberation March - Oakland,BOAAatBerkeley,"Oscar Grant Plaza, Oakland, CA",,2020-05-30 21:00:00,2020-05-30 22:30:00,1,1,"[5, 28]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
7372c075-94e0-54df-a007-b7d012a9c1d9,Grad Student Breakfast & Coffee Hour,BerkeleyGA,"Golden Bear Cafe, Berkeley, CA",,2020-03-04 16:00:00,2020-03-04 17:30:00,1,1,"[8, 24, 25]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
